1;2017-18;2017-10-31;31;;;;
2;2017-18;2017-11-30;82;;;;
3;2017-18;2017-12-31;58;;;;
4;2017-18;2018-01-31;47;;;;
5;2017-18;2018-02-28;59;;;;
6;2017-18;2018-03-31;277;;;;
7;2017-18;2018-04-30;60;;;;
8;2017-18;2018-05-31;14;;;;
9;2017-18;2018-06-30;23;;;;
10;2017-18;2018-07-31;0;;;;
11;2017-18;2018-08-30;0;;;;
12;2017-18;2018-09-30;2;;;;
13;2018-19;2018-10-31;57;;;;
14;2018-19;2018-11-30;84;;;;
15;2018-19;2018-12-31;9;;;;
16;2018-19;2019-01-31;23;;;;
17;2018-19;2019-02-28;39;;;;
18;2018-19;2019-03-31;23;;;;
19;2018-19;2019-04-30;97;;;;
20;2018-19;2019-05-31;3;;;;
21;2018-19;2019-06-30;0;;;;
22;2018-19;2019-07-31;0;;;;
23;2018-19;2019-08-31;2;;;;
24;2018-19;2019-09-30;70;;;;
25;2019-20;2019-10-31;51;;;;
26;2019-20;2019-11-30;131;;;;
27;2019-20;2019-12-31;115;;;;
28;2019-20;2020-01-31;30;;;;
29;2019-20;2020-02-29;0;;;;
30;2019-20;2020-03-31;65;;;;
31;2019-20;2020-04-30;70;;;;
32;2019-20;2020-05-31;61;;;;
33;2019-20;2020-06-30;5;;;;
34;2019-20;2020-07-31;5;;;;
35;2019-20;2020-08-31;6;;;;
36;2019-20;2020-09-30;2;;;;
37;2020-21;2020-10-31;29;;;;
38;2020-21;2020-11-30;51;;;;
39;2020-21;2020-12-31;59;;;;
40;2020-21;2021-01-31;101;;;;
41;2020-21;2021-02-28;71;;;;
42;2020-21;2021-03-31;2;;;;
43;2020-21;2021-04-30;52;;;;
44;2020-21;2021-05-31;11;;;;
45;2020-21;2021-06-30;20;;;;
46;2020-21;2021-07-31;0;;;;
47;2020-21;2021-08-31;5;;;;
48;2020-21;2021-09-30;20;;;;
49;2021-22;2021-10-31;3;;;;
50;2021-22;2021-11-30;53;;;;
51;2021-22;2021-12-31;60;;;;
52;2021-22;2022-01-31;13;;;;
53;2021-22;2022-02-28;4;;;;
54;2021-22;2022-03-31;70;;;;
55;2021-22;2022-04-30;52;;;;
56;2021-22;2022-05-31;27;;;;
57;2021-22;2022-06-30;0;;;;
58;2021-22;2022-07-31;0;;;;
59;2021-22;2022-08-31;0;;;;
60;2021-22;2022-09-30;2;;;;
61;2022-23;2022-10-31;6;;;;
62;2022-23;2022-11-30;35;;;;
63;2022-23;2022-12-31;175;;;;
64;2022-23;2023-01-31;22;;;;
65;2022-23;2023-02-28;18;;;;
66;2022-23;2023-03-31;43;;;;
67;2022-23;2023-04-30;0;;;;
68;2022-23;2023-05-31;56;;;;
69;2022-23;2023-06-30;14;;;;
70;2022-23;2023-07-31;0;;;;
71;2022-23;2023-08-31;0;;;;
72;2022-23;2023-09-30;33;;;;
